ob_id,asset,timeframe,direction,formation_bar_index,formation_timestamp,break_bar_index,break_type,structure_type,qe_top_price,qe_bottom_price,qe_width,qe_width_pct,qe_extreme_candle_idx,lux_top_price,lux_bottom_price,lux_width,lux_width_pct,lux_extreme_candle_idx,extreme_candle_matched,top_price_matched,bottom_price_matched,width_matched,mismatch_category
XRPUSD_749_BEARISH_735_742,XRPUSD,1h,SHORT,735,2024-07-01T15:00:00+00:00,742,CHOCH,internal,0.4827,0.4786,0.0041,0.8567,735,0.4827,0.4786,0.0041,0.8567,735,True,True,True,True,NO_MISMATCH
SOLUSD_758_BULLISH_752_756,SOLUSD,1h,LONG,752,2024-07-02T08:00:00+00:00,756,BOS,internal,148.3682,146.918,1.4502,0.9871,752,148.3682,146.918,1.4502,0.9871,752,True,True,True,True,NO_MISMATCH
ETHUSD_792_BEARISH_782_787,ETHUSD,1h,SHORT,782,2024-07-03T14:00:00+00:00,787,BOS,internal,3325.4,3305.55,19.85,0.6005,782,3325.4,3305.55,19.85,0.6005,782,True,True,True,True,NO_MISMATCH
SOLUSD_831_BEARISH_811_815,SOLUSD,1h,SHORT,811,2024-07-04T19:00:00+00:00,815,BOS,internal,135.9,133.925,1.975,1.4747,811,135.9,133.925,1.975,1.4747,811,True,True,True,True,NO_MISMATCH
XRPUSD_841_BULLISH_834_840,XRPUSD,1h,LONG,834,2024-07-05T18:00:00+00:00,840,CHOCH,internal,0.4272,0.422,0.0052,1.2322,834,0.4272,0.422,0.0052,1.2322,834,True,True,True,True,NO_MISMATCH
SOLUSD_843_BEARISH_834_841,SOLUSD,1h,SHORT,834,2024-07-05T18:00:00+00:00,841,BOS,internal,135.977,134.059,1.918,1.4307,834,135.977,134.059,1.918,1.4307,834,True,True,True,True,NO_MISMATCH
BTCUSD_863_BEARISH_811_818,BTCUSD,1h,SHORT,811,2024-07-04T19:00:00+00:00,818,BOS,internal,58666.5,58149.0,517.5,0.89,811,58666.5,58149.0,517.5,0.89,811,True,True,True,True,NO_MISMATCH
ETHUSD_871_BULLISH_849_855,ETHUSD,1h,LONG,849,2024-07-06T09:00:00+00:00,855,CHOCH,internal,3005.95,2984.95,21.0,0.7035,849,3005.95,2984.95,21.0,0.7035,849,True,True,True,True,NO_MISMATCH
XRPUSD_877_BULLISH_842_846,XRPUSD,1h,LONG,842,2024-07-06T02:00:00+00:00,846,BOS,internal,0.4284,0.4238,0.0046,1.0854,842,0.4284,0.4238,0.0046,1.0854,842,True,True,True,True,NO_MISMATCH
BTCUSD_886_BULLISH_845_854,BTCUSD,1h,LONG,845,2024-07-06T05:00:00+00:00,854,CHOCH,internal,56486.5,56017.5,469.0,0.8372,845,56486.5,56017.5,469.0,0.8372,845,True,True,True,True,NO_MISMATCH
BTCUSD_896_BEARISH_874_877,BTCUSD,1h,SHORT,874,2024-07-07T10:00:00+00:00,877,CHOCH,internal,57914.0,57491.5,422.5,0.7349,874,57914.0,57491.5,422.5,0.7349,874,True,True,True,True,NO_MISMATCH
BTCUSD_936_BULLISH_927_934,BTCUSD,1h,LONG,927,2024-07-09T15:00:00+00:00,934,BOS,internal,57500.5,56901.0,599.5,1.0536,927,57500.5,56901.0,599.5,1.0536,927,True,True,True,True,NO_MISMATCH
ETHUSD_937_BEARISH_930_936,ETHUSD,1h,SHORT,930,2024-07-09T18:00:00+00:00,936,CHOCH,internal,3080.05,3046.75,33.3,1.093,930,3080.05,3046.75,33.3,1.093,930,True,True,True,True,NO_MISMATCH
BTCUSD_949_BULLISH_937_940,BTCUSD,1h,LONG,937,2024-07-10T01:00:00+00:00,940,BOS,internal,58008.5,57347.5,661.0,1.1526,937,58008.5,57347.5,661.0,1.1526,937,True,True,True,True,NO_MISMATCH
XRPUSD_950_BULLISH_938_940,XRPUSD,1h,LONG,938,2024-07-10T02:00:00+00:00,940,BOS,internal,0.4346,0.4322,0.0024,0.5553,938,0.4346,0.4322,0.0024,0.5553,938,True,True,True,True,NO_MISMATCH
SOLUSD_963_BULLISH_937_940,SOLUSD,1h,LONG,937,2024-07-10T01:00:00+00:00,940,BOS,internal,140.646,138.596,2.05,1.4791,937,140.646,138.596,2.05,1.4791,937,True,True,True,True,NO_MISMATCH
ETHUSD_965_BEARISH_961_963,ETHUSD,1h,SHORT,961,2024-07-11T01:00:00+00:00,963,CHOCH,internal,3130.1,3090.85,39.25,1.2699,961,3130.1,3090.85,39.25,1.2699,961,True,True,True,True,NO_MISMATCH
ETHUSD_969_BEARISH_813_815,ETHUSD,1h,SHORT,813,2024-07-04T21:00:00+00:00,815,BOS,internal,3168.3,3140.6,27.7,0.882,813,3168.3,3140.6,27.7,0.882,813,True,True,True,True,NO_MISMATCH
BTCUSD_974_BULLISH_963_970,BTCUSD,1h,LONG,963,2024-07-11T03:00:00+00:00,970,BOS,internal,57960.0,57055.0,905.0,1.5862,963,57960.0,57055.0,905.0,1.5862,963,True,True,True,True,NO_MISMATCH
SOLUSD_974_BULLISH_963_971,SOLUSD,1h,LONG,963,2024-07-11T03:00:00+00:00,971,BOS,internal,141.8,139.256,2.544,1.8269,963,141.8,139.256,2.544,1.8269,963,True,True,True,True,NO_MISMATCH
SOLUSD_975_BULLISH_904_918,SOLUSD,1h,LONG,904,2024-07-08T16:00:00+00:00,918,BOS,internal,138.6,135.245,3.355,2.4807,904,138.6,135.245,3.355,2.4807,904,True,True,True,True,NO_MISMATCH
ETHUSD_982_BULLISH_963_969,ETHUSD,1h,LONG,963,2024-07-11T03:00:00+00:00,969,CHOCH,internal,3107.8,3055.0,52.8,1.7283,963,3107.8,3055.0,52.8,1.7283,963,True,True,True,True,NO_MISMATCH
ETHUSD_1045_BULLISH_1034_1040,ETHUSD,1h,LONG,1034,2024-07-14T02:00:00+00:00,1040,BOS,internal,3188.0,3163.7,24.3,0.7681,1034,3188.0,3163.7,24.3,0.7681,1034,True,True,True,True,NO_MISMATCH
XRPUSD_1060_BEARISH_1050_1055,XRPUSD,1h,SHORT,1050,2024-07-14T18:00:00+00:00,1055,CHOCH,internal,0.5345,0.5292,0.0053,1.0015,1050,0.5345,0.5292,0.0053,1.0015,1050,True,True,True,True,NO_MISMATCH
XRPUSD_1071_BULLISH_1055_1066,XRPUSD,1h,LONG,1055,2024-07-14T23:00:00+00:00,1066,CHOCH,internal,0.526,0.5198,0.0062,1.1928,1055,0.526,0.5198,0.0062,1.1928,1055,True,True,True,True,NO_MISMATCH
ETHUSD_1113_BEARISH_722_776,ETHUSD,1h,SHORT,722,2024-07-01T02:00:00+00:00,776,CHOCH,internal,3522.3,3490.0,32.3,0.9255,722,3522.3,3490.0,32.3,0.9255,722,True,True,True,True,NO_MISMATCH
ETHUSD_1119_BULLISH_1102_1108,ETHUSD,1h,LONG,1102,2024-07-16T22:00:00+00:00,1108,BOS,internal,3439.7,3414.85,24.85,0.7277,1102,3439.7,3414.85,24.85,0.7277,1102,True,True,True,True,NO_MISMATCH
ETHUSD_1129_BEARISH_1124_1127,ETHUSD,1h,SHORT,1124,2024-07-17T20:00:00+00:00,1127,BOS,internal,3428.9,3413.15,15.75,0.4615,1124,3428.9,3413.15,15.75,0.4615,1124,True,True,True,True,NO_MISMATCH
XRPUSD_1135_BULLISH_1103_1108,XRPUSD,1h,LONG,1103,2024-07-16T23:00:00+00:00,1108,BOS,internal,0.5793,0.5737,0.0056,0.9761,1103,0.5793,0.5737,0.0056,0.9761,1103,True,True,True,True,NO_MISMATCH
SOLUSD_1155_BEARISH_1113_1119,SOLUSD,1h,SHORT,1113,2024-07-17T09:00:00+00:00,1119,CHOCH,internal,163.603,161.626,1.977,1.2232,1113,163.603,161.626,1.977,1.2232,1113,True,True,True,True,NO_MISMATCH
ETHUSD_1159_BULLISH_1153_1158,ETHUSD,1h,LONG,1153,2024-07-19T01:00:00+00:00,1158,BOS,internal,3415.4,3384.25,31.15,0.9204,1153,3415.4,3384.25,31.15,0.9204,1153,True,True,True,True,NO_MISMATCH
XRPUSD_1168_BEARISH_1139_1143,XRPUSD,1h,SHORT,1139,2024-07-18T11:00:00+00:00,1143,BOS,internal,0.5838,0.575,0.0088,1.5304,1139,0.5838,0.575,0.0088,1.5304,1139,True,True,True,True,NO_MISMATCH
SOLUSD_1176_BEARISH_156_160,SOLUSD,1h,SHORT,156,2024-06-07T12:00:00+00:00,160,CHOCH,internal,172.754,169.3945,3.3595,1.9832,156,172.754,169.3945,3.3595,1.9832,156,True,True,True,True,NO_MISMATCH
SOLUSD_1193_BEARISH_112_162,SOLUSD,1h,SHORT,112,2024-06-05T16:00:00+00:00,162,BOS,internal,175.634,173.962,1.672,0.9611,112,175.634,173.962,1.672,0.9611,112,True,True,True,True,NO_MISMATCH
ETHUSD_1199_BEARISH_500_548,ETHUSD,1h,SHORT,500,2024-06-21T20:00:00+00:00,548,BOS,internal,3548.0,3518.15,29.85,0.8485,500,3548.0,3518.15,29.85,0.8485,500,True,True,True,True,NO_MISMATCH
XRPUSD_1205_BULLISH_1193_1204,XRPUSD,1h,LONG,1193,2024-07-20T17:00:00+00:00,1204,BOS,internal,0.5978,0.5884,0.0094,1.5976,1193,0.5978,0.5884,0.0094,1.5976,1193,True,True,True,True,NO_MISMATCH
