trade_number,datetime,exit_datetime,asset,direction,ob_id,ob_high,ob_low,ob_width,ob_width_pct,entry,sl,tp,sl_distance,tp_distance,tp_price_move_pct,planned_rr,leverage,starting_capital_35pct,notional_size_35pct,margin_used_35pct,risk_amount_35pct,gross_pnl_35pct,fees_35pct,net_pnl_35pct,ending_capital_35pct,starting_capital_10pct,net_pnl_10pct,ending_capital_10pct,starting_capital_1pct,net_pnl_1pct,ending_capital_1pct,outcome,r_multiple,holding_time_hours,exit_reason,global_trade_lock_state,ambiguity_status
512,2025-08-03T10:00:00+00:00,2025-08-03T11:00:00+00:00,BTCUSD,SHORT,BTCUSD_10282_BEARISH_10252_10263,114011.5,113777.0,234.5,0.206,113835.625,114011.5,113038.7756,175.875,796.8494,0.7,4.5308,100,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.6184,-0.0062,0.6122,SL_HIT,-1.0,1,SL_HIT,ACTIVE,UNAMBIGUOUS
513,2025-08-03T12:00:00+00:00,2025-08-04T00:00:00+00:00,ETHUSD,SHORT,ETHUSD_10284_BEARISH_10256_10265,3523.8,3486.65,37.15,1.0649,3495.9375,3523.8,3471.4659,27.8625,24.4716,0.7,0.8783,43,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.6122,-0.0061,0.6061,SL_HIT,-1.0,12,SL_HIT,ACTIVE,UNAMBIGUOUS
514,2025-08-04T02:00:00+00:00,2025-08-04T13:00:00+00:00,SOLUSD,SHORT,SOLUSD_10298_BEARISH_10259_10263,165.064,162.173,2.891,1.7606,162.8957,165.064,161.7555,2.1683,1.1403,0.7,0.5259,26,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.6061,-0.0061,0.6,SL_HIT,-1.0,11,SL_HIT,ACTIVE,UNAMBIGUOUS
515,2025-08-05T03:00:00+00:00,2025-08-05T04:00:00+00:00,BTCUSD,LONG,BTCUSD_10323_BULLISH_10307_10309,114489.0,114177.0,312.0,0.2731,114411.0,114177.0,115211.877,234.0,800.877,0.7,3.4226,100,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.6,-0.006,0.594,SL_HIT,-1.0,1,SL_HIT,ACTIVE,UNAMBIGUOUS
516,2025-08-05T07:00:00+00:00,2025-08-05T10:00:00+00:00,BTCUSD,LONG,BTCUSD_10327_BULLISH_10286_10290,114029.5,113543.5,486.0,0.4266,113908.0,113543.5,114705.356,364.5,797.356,0.7,2.1875,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.594,0.013,0.607,TP_HIT,2.1875,3,TP_HIT,ACTIVE,UNAMBIGUOUS
517,2025-08-05T12:00:00+00:00,2025-08-05T14:00:00+00:00,SOLUSD,LONG,SOLUSD_10332_BULLISH_10328_10330,167.194,165.593,1.601,0.9578,166.7937,165.593,167.9613,1.2007,1.1676,0.7,0.9724,48,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.607,-0.0061,0.6009,SL_HIT,-1.0,2,SL_HIT,ACTIVE,UNAMBIGUOUS
518,2025-08-05T21:00:00+00:00,2025-08-05T22:00:00+00:00,SOLUSD,LONG,SOLUSD_10341_BULLISH_10302_10309,162.4,161.202,1.198,0.738,162.1005,161.202,163.2352,0.8985,1.1347,0.7,1.2629,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6009,0.0076,0.6085,TP_HIT,1.2629,1,TP_HIT,ACTIVE,UNAMBIGUOUS
519,2025-08-06T12:00:00+00:00,2025-08-06T14:00:00+00:00,ETHUSD,LONG,ETHUSD_10356_BULLISH_10345_10349,3593.8,3563.05,30.75,0.8581,3586.1125,3563.05,3611.2153,23.0625,25.1028,0.7,1.0885,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6085,0.0066,0.6152,TP_HIT,1.0885,2,TP_HIT,ACTIVE,UNAMBIGUOUS
520,2025-08-08T05:00:00+00:00,2025-08-08T15:00:00+00:00,BTCUSD,LONG,BTCUSD_10397_BULLISH_10380_10387,116559.0,115980.5,578.5,0.4966,116414.375,115980.5,117229.2756,433.875,814.9006,0.7,1.8782,93,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.6152,-0.0062,0.609,SL_HIT,-1.0,10,SL_HIT,ACTIVE,UNAMBIGUOUS
521,2025-08-10T06:00:00+00:00,2025-08-10T07:00:00+00:00,SOLUSD,LONG,SOLUSD_10446_BULLISH_10430_10441,181.16,178.835,2.325,1.2842,180.5788,178.835,181.8428,1.7438,1.2641,0.7,0.7249,36,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.609,-0.0061,0.6029,SL_HIT,-1.0,1,SL_HIT,ACTIVE,AMBIGUOUS_RESOLVED_CONSERVATIVE
