ob_id,asset,direction,decision_timestamp,decision_bar_idx,ob_top,ob_bottom,ob_width,r_ctrl_a_quantedge_current,r_ctrl_b_proximal_edge,r_ctrl_c_midpoint_50,r_ctrl_d_deep_75,r_ctrl_e_swing_liquidity_tp,r_ctrl_f_atr_buffered_sl,r_ctrl_g_optimistic_exec,mfe_r,mae_r,holding_bars,is_ambiguous_same_bar_touch,first_touch_occurred
XRPUSD_950_BULLISH_938_940,XRPUSD,LONG,2024-07-10T14:00:00+00:00,950,0.4346,0.4322,0.0024000000000000132,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.291667,1,False,True
SOLUSD_963_BULLISH_937_940,SOLUSD,LONG,2024-07-11T03:00:00+00:00,963,140.646,138.596,2.049999999999983,1.7148,1.7143,0.0,0.0,-0.2,1.4286,1.7148,1.811057,0.025691,5,False,True
ETHUSD_965_BEARISH_961_963,ETHUSD,SHORT,2024-07-11T05:00:00+00:00,965,3130.1,3090.85,39.25,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,0.214437,1.030573,3,False,True
ETHUSD_969_BEARISH_813_815,ETHUSD,SHORT,2024-07-11T09:00:00+00:00,969,3168.3,3140.6,27.700000000000273,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.995187,3.336943,3,False,True
BTCUSD_974_BULLISH_963_970,BTCUSD,LONG,2024-07-11T14:00:00+00:00,974,57960.0,57055.0,905.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.559484,1.763904,11,False,True
SOLUSD_974_BULLISH_963_971,SOLUSD,LONG,2024-07-11T14:00:00+00:00,974,141.8,139.256,2.544000000000011,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.778302,1,False,True
SOLUSD_975_BULLISH_904_918,SOLUSD,LONG,2024-07-11T15:00:00+00:00,975,138.6,135.245,3.3549999999999898,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.487928,1.461003,10,False,True
ETHUSD_982_BULLISH_963_969,ETHUSD,LONG,2024-07-11T22:00:00+00:00,982,3107.8,3055.0,52.80000000000018,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,0.590909,1.151515,11,False,True
ETHUSD_1045_BULLISH_1034_1040,ETHUSD,LONG,2024-07-14T13:00:00+00:00,1045,3188.0,3163.7,24.300000000000182,1.7144,1.7143,0.0,0.0,2.5,1.4286,1.7144,4.050754,0.462277,8,False,True
XRPUSD_1060_BEARISH_1050_1055,XRPUSD,SHORT,2024-07-15T04:00:00+00:00,1060,0.5345,0.5292,0.005299999999999971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.012579,1.679245,6,False,True
XRPUSD_1071_BULLISH_1055_1066,XRPUSD,LONG,2024-07-15T15:00:00+00:00,1071,0.526,0.5198,0.006199999999999983,1.1935,1.7143,0.0,0.0,-0.2,1.4286,1.1935,2.032258,0.462366,1,False,True
ETHUSD_1113_BEARISH_722_776,ETHUSD,SHORT,2024-07-17T09:00:00+00:00,1113,3522.3,3490.0,32.30000000000018,1.7141,1.7143,0.0,0.0,-0.2,1.4286,1.7141,2.287926,0.0,2,False,True
