trade_number,timestamp,exit_timestamp,asset,direction,ob_id,ob_high,ob_low,ob_width,ob_width_percent,tp_regime,entry_price,sl_price,tp_price,risk_distance,reward_distance,planned_rr,outcome,realized_R,starting_capital_10pct,risk_amount_10pct,pnl_dollar_10pct,ending_capital_10pct,starting_capital_1pct,risk_amount_1pct,pnl_dollar_1pct,ending_capital_1pct,holding_time_hours,exit_reason,ambiguity_status
899,2026-03-29T12:00:00+00:00,2026-03-29T17:00:00+00:00,SOLUSD,LONG,SOLUSD_15996_BULLISH_15493_15509,82.452,81.169,1.283,1.5564,REGIME_B_GT_06,82.1312,81.169,83.0935,0.9622,0.9622,1.0,SL_HIT,-1.0,0.0,0.0,-0.0,0.0,1.0841,0.0108,-0.0108,1.0733,5,SL_HIT,UNAMBIGUOUS
900,2026-03-30T01:00:00+00:00,2026-03-30T02:00:00+00:00,SOLUSD,SHORT,SOLUSD_16009_BEARISH_15987_16000,83.222,82.681,0.541,0.6542,REGIME_B_GT_06,82.8162,83.222,82.4105,0.4057,0.4057,1.0,SL_HIT,-1.0,0.0,0.0,-0.0,0.0,1.0733,0.0107,-0.0107,1.0626,1,SL_HIT,UNAMBIGUOUS
901,2026-03-30T02:00:00+00:00,2026-03-30T07:00:00+00:00,SOLUSD,SHORT,SOLUSD_16010_BEARISH_15975_15983,84.283,83.171,1.112,1.3344,REGIME_B_GT_06,83.449,84.283,82.615,0.834,0.834,1.0,SL_HIT,-1.0,0.0,0.0,-0.0,0.0,1.0626,0.0106,-0.0106,1.0519,5,SL_HIT,UNAMBIGUOUS
902,2026-04-01T09:00:00+00:00,2026-04-01T16:00:00+00:00,SOLUSD,LONG,SOLUSD_16065_BULLISH_16049_16060,83.482,82.181,1.301,1.5603,REGIME_B_GT_06,83.1568,82.181,84.1325,0.9758,0.9758,1.0,TP_HIT,1.0,0.0,0.0,0.0,0.0,1.0519,0.0105,0.0105,1.0625,7,TP_HIT,UNAMBIGUOUS
903,2026-04-02T11:00:00+00:00,2026-04-02T13:00:00+00:00,BTCUSD,LONG,BTCUSD_16091_BULLISH_16007_16011,66357.5,65826.5,531.0,0.8023,REGIME_B_GT_06,66224.75,65826.5,66623.0,398.25,398.25,1.0,SL_HIT,-1.0,0.0,0.0,-0.0,0.0,1.0625,0.0106,-0.0106,1.0518,2,SL_HIT,UNAMBIGUOUS
904,2026-04-03T06:00:00+00:00,2026-04-03T07:00:00+00:00,BTCUSD,SHORT,BTCUSD_16110_BEARISH_16100_16106,67081.0,66766.5,314.5,0.471,REGIME_A_LE_06,66766.5,67081.0,66227.3571,314.5,539.1429,1.7143,SL_HIT,-1.0,0.0,0.0,-0.0,0.0,1.0518,0.0105,-0.0105,1.0413,1,SL_HIT,UNAMBIGUOUS
905,2026-04-03T12:00:00+00:00,2026-04-03T15:00:00+00:00,SOLUSD,LONG,SOLUSD_16116_BULLISH_16106_16111,79.6,78.8423,0.7577,0.9551,REGIME_B_GT_06,79.4106,78.8423,79.9788,0.5683,0.5683,1.0,TP_HIT,1.0,0.0,0.0,0.0,0.0,1.0413,0.0104,0.0104,1.0517,3,TP_HIT,UNAMBIGUOUS
906,2026-04-03T22:00:00+00:00,2026-04-04T19:00:00+00:00,ETHUSD,LONG,ETHUSD_16126_BULLISH_16121_16125,2054.95,2043.0,11.95,0.5825,REGIME_A_LE_06,2054.95,2043.0,2075.4357,11.95,20.4857,1.7143,TP_HIT,1.7143,0.0,0.0,0.0,0.0,1.0517,0.0105,0.018,1.0698,21,TP_HIT,UNAMBIGUOUS
907,2026-04-05T04:00:00+00:00,2026-04-05T06:00:00+00:00,SOLUSD,LONG,SOLUSD_16156_BULLISH_16142_16143,80.3843,79.5953,0.789,0.9823,REGIME_B_GT_06,80.187,79.5953,80.7788,0.5918,0.5918,1.0,SL_HIT,-1.0,0.0,0.0,-0.0,0.0,1.0698,0.0107,-0.0107,1.0591,2,SL_HIT,UNAMBIGUOUS
908,2026-04-06T12:00:00+00:00,2026-04-06T16:00:00+00:00,BTCUSD,LONG,BTCUSD_16188_BULLISH_16178_16185,69393.5,68746.5,647.0,0.933,REGIME_B_GT_06,69231.75,68746.5,69717.0,485.25,485.25,1.0,TP_HIT,1.0,0.0,0.0,0.0,0.0,1.0591,0.0106,0.0106,1.0697,4,TP_HIT,UNAMBIGUOUS
909,2026-04-07T06:00:00+00:00,2026-04-07T11:00:00+00:00,SOLUSD,LONG,SOLUSD_16206_BULLISH_16167_16174,80.33,78.969,1.361,1.7115,REGIME_B_GT_06,79.9898,78.969,81.0105,1.0208,1.0208,1.0,SL_HIT,-1.0,0.0,0.0,-0.0,0.0,1.0697,0.0107,-0.0107,1.059,5,SL_HIT,UNAMBIGUOUS
910,2026-04-07T19:00:00+00:00,2026-04-07T20:00:00+00:00,BTCUSD,SHORT,BTCUSD_16219_BEARISH_16209_16210,69226.0,68906.5,319.5,0.4632,REGIME_A_LE_06,68906.5,69226.0,68358.7857,319.5,547.7143,1.7143,SL_HIT,-1.0,0.0,0.0,-0.0,0.0,1.059,0.0106,-0.0106,1.0484,1,SL_HIT,UNAMBIGUOUS
911,2026-04-07T20:00:00+00:00,2026-04-07T21:00:00+00:00,ETHUSD,SHORT,ETHUSD_16220_BEARISH_16209_16210,2133.5,2113.75,19.75,0.9338,REGIME_B_GT_06,2118.6875,2133.5,2103.875,14.8125,14.8125,1.0,SL_HIT,-1.0,0.0,0.0,-0.0,0.0,1.0484,0.0105,-0.0105,1.0379,1,SL_HIT,UNAMBIGUOUS
912,2026-04-08T16:00:00+00:00,2026-04-08T23:00:00+00:00,BTCUSD,SHORT,BTCUSD_16240_BEARISH_16236_16238,72171.5,71550.0,621.5,0.8684,REGIME_B_GT_06,71705.375,72171.5,71239.25,466.125,466.125,1.0,TP_HIT,1.0,0.0,0.0,0.0,0.0,1.0379,0.0104,0.0104,1.0483,7,TP_HIT,UNAMBIGUOUS
913,2026-04-09T20:00:00+00:00,2026-04-09T22:00:00+00:00,ETHUSD,SHORT,ETHUSD_16268_BEARISH_16241_16246,2239.05,2212.2,26.85,1.2135,REGIME_B_GT_06,2218.9125,2239.05,2198.775,20.1375,20.1375,1.0,SL_HIT,-1.0,0.0,0.0,-0.0,0.0,1.0483,0.0105,-0.0105,1.0378,2,SL_HIT,UNAMBIGUOUS
914,2026-04-10T09:00:00+00:00,2026-04-10T12:00:00+00:00,BTCUSD,SHORT,BTCUSD_16281_BEARISH_16273_16279,72358.5,71629.0,729.5,1.0167,REGIME_B_GT_06,71811.375,72358.5,71264.25,547.125,547.125,1.0,SL_HIT,-1.0,0.0,0.0,-0.0,0.0,1.0378,0.0104,-0.0104,1.0274,3,SL_HIT,UNAMBIGUOUS
915,2026-04-11T02:00:00+00:00,2026-04-11T05:00:00+00:00,ETHUSD,SHORT,ETHUSD_16298_BEARISH_16233_16238,2262.9,2245.7,17.2,0.7653,REGIME_B_GT_06,2250.0,2262.9,2237.1,12.9,12.9,1.0,TP_HIT,1.0,0.0,0.0,0.0,0.0,1.0274,0.0103,0.0103,1.0377,3,TP_HIT,UNAMBIGUOUS
916,2026-04-12T01:00:00+00:00,2026-04-12T14:00:00+00:00,SOLUSD,LONG,SOLUSD_16321_BULLISH_16262_16265,82.322,81.42,0.902,1.0961,REGIME_B_GT_06,82.0965,81.42,82.773,0.6765,0.6765,1.0,SL_HIT,-1.0,0.0,0.0,-0.0,0.0,1.0377,0.0104,-0.0104,1.0273,13,SL_HIT,UNAMBIGUOUS
917,2026-04-12T18:00:00+00:00,2026-04-12T22:00:00+00:00,BTCUSD,LONG,BTCUSD_16338_BULLISH_16262_16263,71226.5,70495.0,731.5,1.0316,REGIME_B_GT_06,71043.625,70495.0,71592.25,548.625,548.625,1.0,SL_HIT,-1.0,0.0,0.0,-0.0,0.0,1.0273,0.0103,-0.0103,1.017,4,SL_HIT,UNAMBIGUOUS
