asset,direction,setup_time,setup_time_ist,first_touch_time,first_touch_time_ist,bars_from_touch_to_old_entry,old_entry_time,old_entry_time_ist,old_exit_time,old_exit_time_ist,entry_price,sl_price,tp_price,leverage,old_outcome,old_realized_r,old_net_pnl,removal_reason,capital_impact_type
XRPUSD,SHORT,2025-02-23 07:00:00+00:00,2025-02-23 12:30:00 IST,2025-02-23 08:00:00+00:00,2025-02-23 13:30:00 IST,16,2025-02-24 00:00:00+00:00,2025-02-24 05:30:00 IST,2025-02-24 00:00:00+00:00,2025-02-24 05:30:00 IST,2.5915,2.6084,2.576,53.75,FILLED_TP,0.9214,1.2713721468842145e-25,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
XRPUSD,LONG,2025-03-06 06:00:00+00:00,2025-03-06 11:30:00 IST,2025-03-06 07:00:00+00:00,2025-03-06 12:30:00 IST,17,2025-03-07 00:00:00+00:00,2025-03-07 05:30:00 IST,2025-03-07 00:00:00+00:00,2025-03-07 05:30:00 IST,2.4986,2.4687,2.5135,29.3,FILLED_SL,-1.0,-1.4355294199034152e-25,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
ETHUSD,LONG,2025-03-16 02:00:00+00:00,2025-03-16 07:30:00 IST,2025-03-16 03:00:00+00:00,2025-03-16 08:30:00 IST,5,2025-03-16 08:00:00+00:00,2025-03-16 13:30:00 IST,2025-03-16 09:00:00+00:00,2025-03-16 14:30:00 IST,1918.9625,1911.5,1930.4763,90.0,FILLED_SL,-1.0,-7.434024764739028e-26,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
BTCUSD,LONG,2025-04-18 15:00:00+00:00,2025-04-18 20:30:00 IST,2025-04-18 16:00:00+00:00,2025-04-18 21:30:00 IST,42,2025-04-20 10:00:00+00:00,2025-04-20 15:30:00 IST,2025-04-20 20:00:00+00:00,2025-04-21 01:30:00 IST,84247.5,83700.0,84752.985,53.86,FILLED_TP,0.9233,2.0856092554062254e-28,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
ETHUSD,LONG,2025-04-25 13:00:00+00:00,2025-04-25 18:30:00 IST,2025-04-25 14:00:00+00:00,2025-04-25 19:30:00 IST,59,2025-04-28 01:00:00+00:00,2025-04-28 06:30:00 IST,2025-04-28 01:00:00+00:00,2025-04-28 06:30:00 IST,1762.2625,1738.15,1772.8361,25.58,FILLED_TP,0.4385,1.4617126483340374e-28,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
SOLUSD,SHORT,2025-05-12 23:00:00+00:00,2025-05-13 04:30:00 IST,2025-05-13 00:00:00+00:00,2025-05-13 05:30:00 IST,11,2025-05-13 11:00:00+00:00,2025-05-13 16:30:00 IST,2025-05-13 11:00:00+00:00,2025-05-13 16:30:00 IST,174.8515,177.226,173.8024,25.77,FILLED_TP,0.4418,3.612676648075219e-30,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
BTCUSD,LONG,2025-05-19 06:00:00+00:00,2025-05-19 11:30:00 IST,2025-05-19 07:00:00+00:00,2025-05-19 12:30:00 IST,5,2025-05-19 12:00:00+00:00,2025-05-19 17:30:00 IST,2025-05-19 12:00:00+00:00,2025-05-19 17:30:00 IST,102107.0,101322.5,102719.642,45.55,FILLED_TP,0.7809,7.822602982676688e-31,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
XRPUSD,LONG,2025-05-27 06:00:00+00:00,2025-05-27 11:30:00 IST,2025-05-27 07:00:00+00:00,2025-05-27 12:30:00 IST,24,2025-05-28 07:00:00+00:00,2025-05-28 12:30:00 IST,2025-05-28 08:00:00+00:00,2025-05-28 13:30:00 IST,2.2854,2.2646,2.2992,38.36,FILLED_TP,0.6577,3.1509742308290893e-31,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
BTCUSD,SHORT,2025-06-01 04:00:00+00:00,2025-06-01 09:30:00 IST,2025-06-01 05:00:00+00:00,2025-06-01 10:30:00 IST,9,2025-06-01 14:00:00+00:00,2025-06-01 19:30:00 IST,2025-06-01 16:00:00+00:00,2025-06-01 21:30:00 IST,104636.25,104868.0,104008.4325,100.0,FILLED_SL,-1.0,-7.95690247510136e-31,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
ETHUSD,SHORT,2025-06-01 17:00:00+00:00,2025-06-01 22:30:00 IST,2025-06-01 18:00:00+00:00,2025-06-01 23:30:00 IST,4,2025-06-01 22:00:00+00:00,2025-06-02 03:30:00 IST,2025-06-02 00:00:00+00:00,2025-06-02 05:30:00 IST,2541.5,2550.8,2526.251,95.65,FILLED_TP,1.6397,9.169374438496811e-31,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
